version,task,alt,is_holdout,Brand tier,Price,Battery life,Warranty,none_option
1,1,1,0,Premium brand,$799,2 days,2 years,0
1,1,2,0,Mainstream brand,$599,1 day,1 year,0
1,1,3,0,Value brand,$999,3 days,3 years + accidental damage,0
1,1,4,0,,,,,1
1,2,1,0,Mainstream brand,$399,2 days,3 years + accidental damage,0
1,2,2,0,Premium brand,$799,1 day,1 year,0
1,2,3,0,Value brand,$399,3 days,2 years,0
1,2,4,0,,,,,1
1,3,1,0,Mainstream brand,$999,2 days,1 year,0
1,3,2,0,Value brand,$599,1 day,3 years + accidental damage,0
1,3,3,0,Premium brand,$799,3 days,2 years,0
1,3,4,0,,,,,1
1,4,1,0,Value brand,$599,3 days,2 years,0
1,4,2,0,Mainstream brand,$999,1 day,1 year,0
1,4,3,0,Premium brand,$399,2 days,3 years + accidental damage,0
1,4,4,0,,,,,1
1,5,1,0,Value brand,$599,2 days,1 year,0
1,5,2,0,Premium brand,$799,1 day,2 years,0
1,5,3,0,Mainstream brand,$399,3 days,3 years + accidental damage,0
1,5,4,0,,,,,1
1,6,1,0,Value brand,$999,3 days,2 years,0
1,6,2,0,Premium brand,$999,2 days,3 years + accidental damage,0
1,6,3,0,Mainstream brand,$799,1 day,1 year,0
1,6,4,0,,,,,1
1,7,1,0,Value brand,$599,1 day,3 years + accidental damage,0
1,7,2,0,Mainstream brand,$399,2 days,2 years,0
1,7,3,0,Premium brand,$999,3 days,1 year,0
1,7,4,0,,,,,1
1,8,1,0,Mainstream brand,$799,3 days,2 years,0
1,8,2,0,Premium brand,$399,1 day,3 years + accidental damage,0
1,8,3,0,Value brand,$599,2 days,1 year,0
1,8,4,0,,,,,1
1,9,1,1,Value brand,$999,3 days,3 years + accidental damage,0
1,9,2,1,Premium brand,$599,1 day,1 year,0
1,9,3,1,Mainstream brand,$399,2 days,2 years,0
1,9,4,1,,,,,1
2,1,1,0,Mainstream brand,$799,2 days,2 years,0
2,1,2,0,Value brand,$599,1 day,1 year,0
2,1,3,0,Premium brand,$799,3 days,3 years + accidental damage,0
2,1,4,0,,,,,1
2,2,1,0,Mainstream brand,$399,2 days,2 years,0
2,2,2,0,Premium brand,$999,3 days,1 year,0
2,2,3,0,Value brand,$399,1 day,3 years + accidental damage,0
2,2,4,0,,,,,1
2,3,1,0,Premium brand,$799,3 days,1 year,0
2,3,2,0,Value brand,$999,2 days,2 years,0
2,3,3,0,Mainstream brand,$599,1 day,3 years + accidental damage,0
2,3,4,0,,,,,1
2,4,1,0,Premium brand,$599,1 day,3 years + accidental damage,0
2,4,2,0,Mainstream brand,$999,3 days,2 years,0
2,4,3,0,Value brand,$799,2 days,1 year,0
2,4,4,0,,,,,1
2,5,1,0,Value brand,$399,3 days,3 years + accidental damage,0
2,5,2,0,Mainstream brand,$399,1 day,2 years,0
2,5,3,0,Premium brand,$799,2 days,1 year,0
2,5,4,0,,,,,1
2,6,1,0,Value brand,$599,3 days,3 years + accidental damage,0
2,6,2,0,Premium brand,$999,2 days,1 year,0
2,6,3,0,Mainstream brand,$599,1 day,2 years,0
2,6,4,0,,,,,1
2,7,1,0,Premium brand,$399,3 days,1 year,0
2,7,2,0,Value brand,$799,1 day,2 years,0
2,7,3,0,Mainstream brand,$999,2 days,3 years + accidental damage,0
2,7,4,0,,,,,1
2,8,1,0,Value brand,$999,3 days,1 year,0
2,8,2,0,Mainstream brand,$799,2 days,2 years,0
2,8,3,0,Premium brand,$399,1 day,3 years + accidental damage,0
2,8,4,0,,,,,1
2,9,1,1,Mainstream brand,$599,3 days,2 years,0
2,9,2,1,Value brand,$399,1 day,3 years + accidental damage,0
2,9,3,1,Premium brand,$599,2 days,1 year,0
2,9,4,1,,,,,1
