version,task,position,item_index,item_label
1,1,1,11,Customer support
1,1,2,4,Screen quality
1,1,3,2,Camera quality
1,1,4,12,Resale value
1,1,5,7,Software updates
1,2,1,5,Brand reputation
1,2,2,1,Battery life
1,2,3,8,Privacy & security
1,2,4,9,Repairability
1,2,5,10,Ecosystem integration
1,3,1,11,Customer support
1,3,2,9,Repairability
1,3,3,3,Price
1,3,4,6,5G / connectivity
1,3,5,2,Camera quality
1,4,1,7,Software updates
1,4,2,6,5G / connectivity
1,4,3,8,Privacy & security
1,4,4,3,Price
1,4,5,12,Resale value
1,5,1,3,Price
1,5,2,5,Brand reputation
1,5,3,4,Screen quality
1,5,4,1,Battery life
1,5,5,10,Ecosystem integration
1,6,1,2,Camera quality
1,6,2,8,Privacy & security
1,6,3,6,5G / connectivity
1,6,4,4,Screen quality
1,6,5,5,Brand reputation
1,7,1,7,Software updates
1,7,2,1,Battery life
1,7,3,11,Customer support
1,7,4,12,Resale value
1,7,5,9,Repairability
1,8,1,4,Screen quality
1,8,2,10,Ecosystem integration
1,8,3,8,Privacy & security
1,8,4,11,Customer support
1,8,5,3,Price
1,9,1,10,Ecosystem integration
1,9,2,9,Repairability
1,9,3,7,Software updates
1,9,4,5,Brand reputation
1,9,5,2,Camera quality
2,1,1,10,Ecosystem integration
2,1,2,12,Resale value
2,1,3,1,Battery life
2,1,4,4,Screen quality
2,1,5,6,5G / connectivity
2,2,1,7,Software updates
2,2,2,3,Price
2,2,3,8,Privacy & security
2,2,4,1,Battery life
2,2,5,2,Camera quality
2,3,1,6,5G / connectivity
2,3,2,12,Resale value
2,3,3,9,Repairability
2,3,4,11,Customer support
2,3,5,5,Brand reputation
2,4,1,11,Customer support
2,4,2,6,5G / connectivity
2,4,3,7,Software updates
2,4,4,8,Privacy & security
2,4,5,10,Ecosystem integration
2,5,1,5,Brand reputation
2,5,2,12,Resale value
2,5,3,2,Camera quality
2,5,4,1,Battery life
2,5,5,3,Price
2,6,1,3,Price
2,6,2,6,5G / connectivity
2,6,3,4,Screen quality
2,6,4,9,Repairability
2,6,5,7,Software updates
2,7,1,9,Repairability
2,7,2,12,Resale value
2,7,3,2,Camera quality
2,7,4,4,Screen quality
2,7,5,8,Privacy & security
2,8,1,10,Ecosystem integration
2,8,2,1,Battery life
2,8,3,5,Brand reputation
2,8,4,7,Software updates
2,8,5,11,Customer support
2,9,1,3,Price
2,9,2,6,5G / connectivity
2,9,3,2,Camera quality
2,9,4,12,Resale value
2,9,5,10,Ecosystem integration
