Variable,Label,Question,Question Text,Type,Response Type,Codes,Value Labels,Page,Section,Derived,Hidden,Row,Column,Option,Notes
CONSENT,Do you agree to participate in this research study?,Q1,Do you agree to participate in this research study?,numeric,single_select,"1,2","1=Yes, I agree; 2=No, I do not agree",p_intro_welcome,,,,,,,
PARTICIPATION_OK,Please confirm that you are completing this survey yourself and will answer honestly.,Q2,Please confirm that you are completing this survey yourself and will answer honestly.,numeric,single_select,"1,2",1=I confirm; 2=I cannot confirm,p_intro_welcome,,,,,,,
AGE,How old are you?,Q3,How old are you?,numeric,numeric,,,p_intro_about,,,,,,,
COUNTRY,Which country do you live in?,Q4,Which country do you live in?,numeric,dropdown,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,99",1=United States; 2=United Kingdom; 3=Germany; 4=France; 5=Spain; 6=Italy; 7=Netherlands; 8=Canada; 9=Australia; 10=India; 11=Japan; 12=Brazil; 13=Mexico; 14=South Africa; 99=Other country,p_intro_about,,,,,,,
COUNTRY_other,Q4 — Other (specify),Q4,Which country do you live in?,text,dropdown,,,p_intro_about,,,,,,,
REGION,Which region do you live in?,Q5,Which region do you live in?,numeric,dropdown,"us_ne,us_mw,us_s,us_w,uk_eng,uk_sco,uk_wal,uk_ni,de_n,de_s,de_e,de_w,ca_e,ca_w",us_ne=Northeast; us_mw=Midwest; us_s=South; us_w=West; uk_eng=England; uk_sco=Scotland; uk_wal=Wales; uk_ni=Northern Ireland; de_n=Northern Germany; de_s=Southern Germany; de_e=Eastern Germany; de_w=Western Germany; ca_e=Eastern Canada; ca_w=Western Canada,p_intro_about,,,,,,,
CITY,Which city or town do you live in?,Q6,Which city or town do you live in?,text,open_text,,,p_intro_about,,,,,,,
EMAIL,What is your email address?,Q7,What is your email address?,text,open_text,,,p_intro_contact,,,,,,,
CONTACT_OK,May we contact you about follow-up studies?,Q8,May we contact you about follow-up studies?,numeric,single_select,"1,2",1=Yes; 2=No,p_intro_contact,,,,,,,
PHONE,What phone number may we reach you on?,Q9,What phone number may we reach you on?,text,open_text,,,p_intro_contact,,,,,,,
EMPLOYMENT,Which of these best describes your current employment status?,Q10,Which of these best describes your current employment status?,numeric,single_select,"1,2,3,4,5,6,99",1=Employed full-time; 2=Employed part-time; 3=Self-employed / freelance; 4=Student; 5=Retired; 6=Unemployed / looking for work; 99=Other,p_demo_core,,,,,,,
EMPLOYMENT_other,Q10 — Other (specify),Q10,Which of these best describes your current employment status?,text,single_select,,,p_demo_core,,,,,,,
DEVICES_1,Q11 — Smartphone,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,1,
DEVICES_2,Q11 — Laptop,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,2,
DEVICES_3,Q11 — Desktop computer,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,3,
DEVICES_4,Q11 — Tablet,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,4,
DEVICES_5,Q11 — Smartwatch / fitness tracker,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,5,
DEVICES_6,Q11 — Smart speaker,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,6,
DEVICES_7,Q11 — Smart TV,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,7,
DEVICES_8,Q11 — Games console,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,8,
DEVICES_9,Q11 — E-reader,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,9,
DEVICES_10,Q11 — VR / AR headset,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,10,
DEVICES_11,Q11 — Home security camera,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,11,
DEVICES_12,Q11 — Connected car,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,12,
DEVICES_98,Q11 — None of these,Q11,Which of the following devices do you personally own or use at least weekly?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_screen_1,,,,,,98,
PURCHASE_ROLE,"When technology is bought in your household, what is your role?",Q12,"When technology is bought in your household, what is your role?",numeric,single_select,"1,2,3",1=I make the decision alone; 2=I share the decision; 3=Someone else decides — I have no say,p_screen_1,,,,,,,
USE_TYPE,"Do you use these devices mainly for personal purposes, for work, or both?",Q13,"Do you use these devices mainly for personal purposes, for work, or both?",numeric,single_select,"1,2,3",1=Personal use only; 2=Work / business use only; 3=Both personal and work,p_screen_2,,,,,,,
ATTENTION_CHECK,This is an attention check. Please select “Agree” to continue.,Q14,This is an attention check. Please select “Agree” to continue.,numeric,single_select,"1,2,3,4,5",1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree,p_screen_2,,,,,,,
ATTENTION_CHECK_PASSED,Q14 — attention check passed,Q14,This is an attention check. Please select “Agree” to continue.,numeric,single_select,"0,1",0=Failed; 1=Passed,p_screen_2,,Y,,,,,
GENDER,How do you describe your gender?,Q15,How do you describe your gender?,numeric,single_select,"1,2,3,99",1=Male; 2=Female; 3=Non-binary; 99=Prefer not to say,p_demo_core,,,,,,,
HH_SIZE,"Including yourself, how many people live in your household?",Q16,"Including yourself, how many people live in your household?",numeric,numeric,,,p_demo_household,,,,,,,
HH_CHILDREN,How many of them are children under 18?,Q17,How many of them are children under 18?,numeric,numeric,,,p_demo_household,,,,,,,
INCOME,What is your total annual household income before tax?,Q18,What is your total annual household income before tax?,numeric,dropdown,"1,2,3,4,5,6,7,8,98,99","1=Under $25,000; 2=$25,000 – $49,999; 3=$50,000 – $74,999; 4=$75,000 – $99,999; 5=$100,000 – $149,999; 6=$150,000 – $199,999; 7=$200,000 – $299,999; 8=$300,000 or more; 98=Don't know; 99=Prefer not to say",p_demo_core,,,,,,,
EDUCATION,What is the highest level of education you have completed?,Q19,What is the highest level of education you have completed?,numeric,single_select,"1,2,3,4,5,6,7,99",1=Some high school; 2=High school diploma; 3=Some college / vocational; 4=Associate degree; 5=Bachelor's degree; 6=Master's degree; 7=Doctorate / professional degree; 99=Prefer not to say,p_demo_core,,,,,,,
INDUSTRY,Which industry do you work in?,Q20,Which industry do you work in?,numeric,dropdown,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,99",1=Technology / software; 2=Financial services; 3=Healthcare; 4=Education; 5=Retail; 6=Manufacturing; 7=Government / public sector; 8=Media / entertainment; 9=Professional services; 10=Construction; 11=Transport / logistics; 12=Hospitality; 13=Energy / utilities; 14=Agriculture; 99=Other,p_demo_work,,,,,,,
INDUSTRY_other,Q20 — Other (specify),Q20,Which industry do you work in?,text,dropdown,,,p_demo_work,,,,,,,
JOB_LEVEL,Which best describes your level in your organisation?,Q21,Which best describes your level in your organisation?,numeric,single_select,"1,2,3,4,5,6,7",1=Owner / C-level; 2=Senior management; 3=Middle management; 4=Team lead / supervisor; 5=Professional / specialist; 6=Administrative / support; 7=Entry level,p_demo_work,,,,,,,
COMPANY_SIZE,Roughly how many people work at your organisation?,Q22,Roughly how many people work at your organisation?,numeric,single_select,"1,2,3,4,5,6,7","1=Just me; 2=2–9; 3=10–49; 4=50–249; 5=250–999; 6=1,000–4,999; 7=5,000 or more",p_demo_work,,,,,,,
LAST_PURCHASE_DATE,When did you buy your most recent technology device?,Q23,When did you buy your most recent technology device?,date,date,,,p_demo_dates,,,,,,,
WARRANTY_END,When does its warranty end (your best estimate)?,Q24,When does its warranty end (your best estimate)?,date,date,,,p_demo_dates,,,,,,,
SHOP_TIME,At what time of day do you usually shop online?,Q25,At what time of day do you usually shop online?,time,time,,,p_demo_dates,,,,,,,
FIN_PRODUCTS_1,Q26 — Current / checking account,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,1,
FIN_PRODUCTS_2,Q26 — Savings account,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,2,
FIN_PRODUCTS_3,Q26 — Credit card,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,3,
FIN_PRODUCTS_4,Q26 — Debit card,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,4,
FIN_PRODUCTS_5,Q26 — Buy-now-pay-later,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,5,
FIN_PRODUCTS_6,"Q26 — Mobile wallet (Apple Pay, Google Pay…)",Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,6,
FIN_PRODUCTS_7,Q26 — Peer-to-peer payments,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,7,
FIN_PRODUCTS_8,Q26 — Digital-only bank,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,8,
FIN_PRODUCTS_9,Q26 — Investment / brokerage app,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,9,
FIN_PRODUCTS_10,Q26 — Cryptocurrency exchange,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,10,
FIN_PRODUCTS_11,Q26 — Personal loan,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,11,
FIN_PRODUCTS_12,Q26 — Mortgage,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,12,
FIN_PRODUCTS_13,Q26 — Insurance app,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,13,
FIN_PRODUCTS_98,Q26 — None of these,Q26,Which of these financial products or services do you currently use?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_demo_household,,,,,,98,
AGE_GROUP,Derived age group,H1,Derived age group,numeric,calculated,,,p_demo_core,,Y,Y,,,,
ELIGIBLE_FLAG,Hidden eligibility flag,H2,Hidden eligibility flag,numeric,calculated,,,p_demo_core,,Y,Y,,,,
HOURS_ONLINE,"On a typical day, how many hours do you spend online (excluding work)?",Q27,"On a typical day, how many hours do you spend online (excluding work)?",numeric,slider,,,p_tech_usage,,,,,,,
ACTIVITY_a1,Q28 — Stream video,Q28,How often do you do each of the following?,numeric,matrix_single,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_tech_usage,,,,a1,,,
ACTIVITY_a2,Q28 — Stream music,Q28,How often do you do each of the following?,numeric,matrix_single,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_tech_usage,,,,a2,,,
ACTIVITY_a3,Q28 — Online shopping,Q28,How often do you do each of the following?,numeric,matrix_single,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_tech_usage,,,,a3,,,
